ref-03.png	grounding/twenty/packages/twenty-docs/images/user-guide/home/view-menu.png	view-switcher dropdown open
ref-04.png	grounding/twenty/packages/twenty-docs/images/user-guide/home/navigation-bar.png	left navigation bar focus
ref-05.png	grounding/twenty/packages/twenty-docs/images/user-guide/home/command-menu.png	cmd-k command palette
ref-06.png	grounding/twenty/packages/twenty-docs/images/user-guide/home/search-bar.png	global search results
ref-08.png	grounding/twenty/packages/twenty-docs/images/user-guide/kanban-views/filter.png	kanban with filter chip applied
ref-09.png	grounding/twenty/packages/twenty-docs/images/user-guide/kanban-views/edit-stage.png	kanban with edit-stage popover
ref-11.png	grounding/twenty/packages/twenty-docs/images/user-guide/notes/add-note.png	notes panel with rich-text editor
ref-12.png	grounding/twenty/packages/twenty-docs/images/user-guide/import-export-data/match-columns.png	import wizard: column matching step
ref-13.png	grounding/twenty/packages/twenty-docs/images/user-guide/views/default-view.png	default record view configuration
ref-14.png	grounding/twenty/packages/twenty-docs/images/user-guide/objects/customize-fields.png	object settings: field list
ref-15.png	grounding/twenty/packages/twenty-docs/images/user-guide/fields/quick-new-field.png	inline new-field affordance on table
ref-16.png	grounding/twenty/packages/twenty-docs/images/user-guide/tips/favorites.png	favorites section in nav
ref-18.png	https://github.com/twentyhq/twenty/pull/19560	companies table with license-expired notice banner (fr-FR)
ref-19.png	https://github.com/twentyhq/twenty/pull/20470	workflow editor canvas with action-picker drawer
ref-20.png	https://github.com/twentyhq/twenty/pull/18748	dashboard widget editor: bar chart + properties panel
ref-21.png	https://github.com/twentyhq/twenty/pull/19512	record detail with rich-text block-type picker
ref-22.png	https://github.com/twentyhq/twenty/pull/20235	message-channel empty state with illustration (fr-FR)
ref-23.png	https://github.com/twentyhq/twenty/pull/19938	import wizard step 3: validate-data preview
ref-24.png	https://github.com/twentyhq/twenty/pull/19283	"Reset to default" confirm dialog over record detail
ref-25.png	https://github.com/twentyhq/twenty/pull/19684	record widget config with field-search dropdown
